Date,Open,High,Low,Close,Volume
12/22/2018 4:00,106.99,107.31,105.58,105.98,315.25
12/22/2018 5:00,105.98,106.7,105.46,106.59,524.25
12/22/2018 6:00,106.59,107.99,106.59,107.24,550.66
12/22/2018 7:00,107.24,107.88,106.97,107.58,275.93
12/22/2018 8:00,107.58,108.22,107.27,107.53,237.68
12/22/2018 9:00,107.53,113.65,107.39,113.06,3338.18
12/22/2018 10:00,113.06,113.36,111.05,111.42,1784.48
12/22/2018 11:00,111.42,111.58,110.38,111.22,901.42
12/22/2018 12:00,111.22,111.64,109.34,109.76,1019.84
12/22/2018 13:00,109.76,111.53,109.4,109.8,1101.24
12/22/2018 14:00,109.8,111.15,108.26,110.48,2794.71
12/22/2018 15:00,110.48,111.89,110,111.17,973
12/22/2018 16:00,111.17,112.67,108.59,111,2267.56
12/22/2018 17:00,111,111.02,109.57,110.59,549.54
12/22/2018 18:00,110.59,112.17,110.28,111.27,487.77
12/22/2018 19:00,111.27,112.73,111.22,112.2,692.46
12/22/2018 20:00,112.2,114.6,112.17,113.78,2359.14
12/22/2018 21:00,113.78,114.78,113.59,113.75,1141
12/22/2018 22:00,113.75,113.75,111.19,112.4,1240.02
12/22/2018 23:00,112.4,116.39,112.32,115.6,3608.1
12/23/2018 0:00,115.6,123.99,115.6,122.87,5624.24
12/23/2018 1:00,122.87,125.36,121.23,122.76,6799.22
12/23/2018 2:00,122.76,125.64,122.44,124.96,6515.96
12/23/2018 3:00,124.96,130,124.96,128.57,6833.05
12/23/2018 4:00,128.57,131.18,126.99,127.26,5675.28
12/23/2018 5:00,127.26,129.31,125.93,128.61,1494.25
12/23/2018 6:00,128.61,129.65,127.24,127.73,2039.23
12/23/2018 7:00,127.73,128.52,126.35,128.15,1529.5
12/23/2018 8:00,128.15,128.9,127.1,128.14,1662.37
12/23/2018 9:00,128.14,131.97,128.01,129.97,3650.64
12/23/2018 10:00,129.97,133,128.39,131.54,3653.46
12/23/2018 11:00,131.54,132,129.64,130.02,2198.25
12/23/2018 12:00,130.02,130.79,126.82,128.92,2717.34
12/23/2018 13:00,128.92,130.25,127.99,128.75,2334.26
12/23/2018 14:00,128.75,128.75,126.47,126.63,1475.74
